IP地址,端口,地区,TLS,数据中心,TCP延迟(ms),等效带宽,速度(MB/s)
204.110.220.3,443,US,TRUE,,139 ms,232 Mbps,29696 kB/s
18.185.254.189,443,DE,TRUE,,94 ms,244 Mbps,31232 kB/s
3.68.62.122,443,DE,TRUE,,94 ms,230 Mbps,29491 kB/s
3.66.115.225,443,DE,TRUE,,97 ms,228 Mbps,29286 kB/s
3.127.55.133,443,DE,TRUE,,90 ms,238 Mbps,30515 kB/s
193.122.110.171,443,KR,TRUE,Osaka,250 ms,36 Mbps,4715 kB/s
18.192.93.64,443,DE,TRUE,,93 ms,226 Mbps,28979 kB/s
103.137.63.3,443,TW,TRUE,,183 ms,81 Mbps,10444 kB/s
43.205.48.107,443,IN,TRUE,,203 ms,64 Mbps,8301 kB/s
130.61.239.203,443,DE,TRUE,Frankfurt,92 ms,117 Mbps,15052 kB/s
129.146.248.140,443,US,TRUE,Los Angeles,63 ms,179 Mbps,22937 kB/s
35.157.240.237,443,DE,TRUE,,92 ms,236 Mbps,30310 kB/s
150.230.196.248,443,JP,TRUE,Tokyo,218 ms,36 Mbps,4618 kB/s
168.138.66.11,443,CA,TRUE,Toronto,95 ms,56 Mbps,7190 kB/s
8.219.210.64,443,SG,TRUE,Singapore,226 ms,61 Mbps,7855 kB/s
152.70.155.147,443,US,TRUE,Los Angeles,144 ms,232 Mbps,29696 kB/s
152.67.78.184,443,CH,TRUE,Frankfurt,99 ms,44 Mbps,5668 kB/s
8.219.201.8,443,SG,TRUE,Singapore,221 ms,65 Mbps,8331 kB/s
152.67.231.226,443,US,TRUE,San Jose,75 ms,262 Mbps,33587 kB/s
8.218.204.128,443,HK,TRUE,Hong Kong,232 ms,44 Mbps,5699 kB/s
8.219.199.220,443,SG,TRUE,Singapore,226 ms,59 Mbps,7640 kB/s
47.254.65.110,443,US,TRUE,San Jose,64 ms,0 Mbps,7 kB/s
8.219.5.10,443,SG,TRUE,Singapore,226 ms,67 Mbps,8643 kB/s
141.144.246.87,443,DE,TRUE,Frankfurt,91 ms,139 Mbps,17817 kB/s
8.222.233.183,443,SG,TRUE,Singapore,227 ms,62 Mbps,8011 kB/s
8.222.204.128,443,SG,TRUE,Singapore,226 ms,63 Mbps,8187 kB/s
8.219.103.65,443,SG,TRUE,Singapore,226 ms,0 Mbps,77 kB/s
144.24.200.164,443,FR,TRUE,Marseille,187 ms,45 Mbps,5791 kB/s
144.21.37.24,443,DE,TRUE,Frankfurt,93 ms,132 Mbps,16998 kB/s
8.209.127.211,443,US,TRUE,Frankfurt,89 ms,192 Mbps,24576 kB/s
130.162.179.86,443,DE,TRUE,Frankfurt,209 ms,125 Mbps,16076 kB/s
192.18.134.231,443,US,TRUE,San Jose,193 ms,219 Mbps,28057 kB/s
141.148.226.196,443,DE,TRUE,Frankfurt,90 ms,125 Mbps,16076 kB/s
141.148.234.108,443,US,TRUE,Frankfurt,88 ms,219 Mbps,28057 kB/s
8.219.170.232,443,SG,TRUE,Singapore,228 ms,56 Mbps,7243 kB/s
8.222.137.192,443,SG,TRUE,Singapore,222 ms,60 Mbps,7772 kB/s
168.138.194.74,443,JP,TRUE,Tokyo,216 ms,57 Mbps,7412 kB/s
130.61.83.37,443,DE,TRUE,Frankfurt,93 ms,196 Mbps,25190 kB/s
8.219.78.1,443,SG,TRUE,Singapore,228 ms,55 Mbps,7081 kB/s
8.219.126.240,443,SG,TRUE,Singapore,230 ms,56 Mbps,7260 kB/s
129.150.37.203,443,SG,TRUE,Singapore,288 ms,53 Mbps,6903 kB/s
8.219.237.250,443,SG,TRUE,Singapore,228 ms,66 Mbps,8454 kB/s
143.47.226.159,443,AE,TRUE,Frankfurt,98 ms,204 Mbps,26214 kB/s
152.67.233.64,443,US,TRUE,San Jose,73 ms,116 Mbps,14950 kB/s
150.230.248.166,443,KR,TRUE,Seoul,277 ms,39 Mbps,5088 kB/s
47.245.86.230,443,SG,TRUE,Singapore,223 ms,68 Mbps,8824 kB/s
8.222.164.209,443,SG,TRUE,Singapore,226 ms,65 Mbps,8347 kB/s
47.89.244.253,443,US,TRUE,San Jose,131 ms,0 Mbps,88 kB/s
8.219.67.133,443,SG,TRUE,Singapore,328 ms,64 Mbps,8274 kB/s
8.219.84.214,443,SG,TRUE,Singapore,227 ms,62 Mbps,8046 kB/s
144.24.243.207,443,CH,TRUE,,100 ms,107 Mbps,13721 kB/s
8.219.198.34,443,SG,TRUE,Singapore,229 ms,54 Mbps,6930 kB/s
64.110.103.69,443,JP,TRUE,Osaka,210 ms,32 Mbps,4180 kB/s
192.18.134.28,443,US,TRUE,San Jose,87 ms,17 Mbps,2177 kB/s
141.147.77.223,443,DE,TRUE,Frankfurt,96 ms,228 Mbps,29184 kB/s
